,year,team,record,win%
210,1987-88,Cavaliers,42-40,0.512
211,1986-87,Cavaliers,31-51,0.37799999999999995
212,1985-86,Cavaliers,29-53,0.354
213,1984-85,Cavaliers,36-46,0.439
214,1983-84,Cavaliers,28-54,0.341
215,1982-83,Cavaliers,23-59,0.28
216,1981-82,Cavaliers,15-67,0.183
217,2017-18,Mavericks,24-58,0.293
218,2016-17,Mavericks,33-49,0.402
219,2015-16,Mavericks,42-40,0.512
220,2014-15,Mavericks,50-32,0.61
221,2013-14,Mavericks,49-33,0.598
222,2012-13,Mavericks,41-41,0.5
223,2011-12 *,Mavericks,36-30,0.545
224,2010-11,Mavericks,57-25,0.695
225,2009-10,Mavericks,55-27,0.6709999999999999
226,2008-09,Mavericks,50-32,0.61
227,2007-08,Mavericks,51-31,0.622
228,2006-07,Mavericks,67-15,0.8170000000000001
229,2005-06,Mavericks,60-22,0.732
230,2004-05,Mavericks,58-24,0.7070000000000001
231,2003-04,Mavericks,52-30,0.634
232,2002-03,Mavericks,60-22,0.732
233,2001-02,Mavericks,57-25,0.695
234,2000-01,Mavericks,53-29,0.6459999999999999
235,1999-00,Mavericks,40-42,0.488
236,1998-99 *,Mavericks,19-31,0.38
237,1997-98,Mavericks,20-62,0.244
238,1996-97,Mavericks,24-58,0.293
239,1995-96,Mavericks,26-56,0.317
240,1994-95,Mavericks,36-46,0.439
241,1993-94,Mavericks,13-69,0.159
242,1992-93,Mavericks,11-71,0.134
243,1991-92,Mavericks,22-60,0.268
244,1990-91,Mavericks,28-54,0.341
245,1989-90,Mavericks,47-35,0.573
246,1988-89,Mavericks,38-44,0.46299999999999997
247,1987-88,Mavericks,53-29,0.6459999999999999
248,1986-87,Mavericks,55-27,0.6709999999999999
249,1985-86,Mavericks,44-38,0.537
250,1984-85,Mavericks,44-38,0.537
251,1983-84,Mavericks,43-39,0.524
252,1982-83,Mavericks,38-44,0.46299999999999997
253,1981-82,Mavericks,28-54,0.341
254,1980-81,Mavericks,15-67,0.183
255,2017-18,Nuggets,46-36,0.561
256,2016-17,Nuggets,40-42,0.488
257,2015-16,Nuggets,33-49,0.402
258,2014-15,Nuggets,30-52,0.366
259,2013-14,Nuggets,36-46,0.439
260,2012-13,Nuggets,57-25,0.695
261,2011-12 *,Nuggets,38-28,0.5760000000000001
262,2010-11,Nuggets,50-32,0.61
263,2009-10,Nuggets,53-29,0.6459999999999999
264,2008-09,Nuggets,54-28,0.659
265,2007-08,Nuggets,50-32,0.61
266,2006-07,Nuggets,45-37,0.5489999999999999
267,2005-06,Nuggets,44-38,0.537
268,2004-05,Nuggets,49-33,0.598
269,2003-04,Nuggets,43-39,0.524
270,2002-03,Nuggets,17-65,0.207
271,2001-02,Nuggets,27-55,0.32899999999999996
272,2000-01,Nuggets,40-42,0.488
273,1999-00,Nuggets,35-47,0.42700000000000005
274,1998-99 *,Nuggets,14-36,0.28
275,1997-98,Nuggets,11-71,0.134
276,1996-97,Nuggets,21-61,0.256
277,1995-96,Nuggets,35-47,0.42700000000000005
278,1994-95,Nuggets,41-41,0.5
279,1993-94,Nuggets,42-40,0.512
280,1992-93,Nuggets,36-46,0.439
281,1991-92,Nuggets,24-58,0.293
282,1990-91,Nuggets,20-62,0.244
283,1989-90,Nuggets,43-39,0.524
284,1988-89,Nuggets,44-38,0.537
285,1987-88,Nuggets,54-28,0.659
286,1986-87,Nuggets,37-45,0.451
287,1985-86,Nuggets,47-35,0.573
288,1984-85,Nuggets,52-30,0.634
289,1983-84,Nuggets,38-44,0.46299999999999997
290,1982-83,Nuggets,45-37,0.5489999999999999
291,1981-82,Nuggets,46-36,0.561
292,1980-81,Nuggets,37-45,0.451
293,2017-18,Pistons,39-43,0.47600000000000003
294,2016-17,Pistons,37-45,0.451
295,2015-16,Pistons,44-38,0.537
296,2014-15,Pistons,32-50,0.39
297,2013-14,Pistons,29-53,0.354
298,2012-13,Pistons,29-53,0.354
299,2011-12 *,Pistons,25-41,0.379
300,2010-11,Pistons,30-52,0.366
301,2009-10,Pistons,27-55,0.32899999999999996
302,2008-09,Pistons,39-43,0.47600000000000003
303,2007-08,Pistons,59-23,0.72
304,2006-07,Pistons,53-29,0.6459999999999999
305,2005-06,Pistons,64-18,0.78
306,2004-05,Pistons,54-28,0.659
307,2003-04,Pistons,54-28,0.659
308,2002-03,Pistons,50-32,0.61
309,2001-02,Pistons,50-32,0.61
310,2000-01,Pistons,32-50,0.39
311,1999-00,Pistons,42-40,0.512
312,1998-99 *,Pistons,29-21,0.58
313,1997-98,Pistons,37-45,0.451
314,1996-97,Pistons,54-28,0.659
315,1995-96,Pistons,46-36,0.561
316,1994-95,Pistons,28-54,0.341
317,1993-94,Pistons,20-62,0.244
318,1992-93,Pistons,40-42,0.488
319,1991-92,Pistons,48-34,0.585
320,1990-91,Pistons,50-32,0.61
321,1989-90,Pistons,59-23,0.72
