Year,Team,Record,Wins,Losses,Win%
1997-98,IND,58-24,58,24,0.707
1996-97,IND,39-43,39,43,0.476
1995-96,IND,52-30,52,30,0.634
1994-95,IND,52-30,52,30,0.634
1993-94,IND,47-35,47,35,0.573
1992-93,IND,41-41,41,41,0.5
1991-92,IND,40-42,40,42,0.488
1990-91,IND,41-41,41,41,0.5
1989-90,IND,42-40,42,40,0.512
1988-89,IND,28-54,28,54,0.341
1987-88,IND,38-44,38,44,0.463
1986-87,IND,41-41,41,41,0.5
1985-86,IND,26-56,26,56,0.317
1984-85,IND,22-60,22,60,0.268
1983-84,IND,26-56,26,56,0.317
1982-83,IND,20-62,20,62,0.244
1981-82,IND,35-47,35,47,0.427
1980-81,IND,44-38,44,38,0.537
2017-18,LAC,42-40,42,40,0.512
2016-17,LAC,51-31,51,31,0.622
2015-16,LAC,53-29,53,29,0.646
2014-15,LAC,56-26,56,26,0.683
2013-14,LAC,57-25,57,25,0.695
2012-13,LAC,56-26,56,26,0.683
2011-12 *,LAC,40-26,40,26,0.606
2010-11,LAC,32-50,32,50,0.39
2009-10,LAC,29-53,29,53,0.354
2008-09,LAC,19-63,19,63,0.232
2007-08,LAC,23-59,23,59,0.28
2006-07,LAC,40-42,40,42,0.488
2005-06,LAC,47-35,47,35,0.573
2004-05,LAC,37-45,37,45,0.451
2003-04,LAC,28-54,28,54,0.341
2002-03,LAC,27-55,27,55,0.329
2001-02,LAC,39-43,39,43,0.476
2000-01,LAC,31-51,31,51,0.378
1999-00,LAC,15-67,15,67,0.183
1998-99 *,LAC,Sep-41,Sep-41,,0.18
1997-98,LAC,17-65,17,65,0.207
1996-97,LAC,36-46,36,46,0.439
1995-96,LAC,29-53,29,53,0.354
1994-95,LAC,17-65,17,65,0.207
1993-94,LAC,27-55,27,55,0.329
1992-93,LAC,41-41,41,41,0.5
1991-92,LAC,45-37,45,37,0.549
1990-91,LAC,31-51,31,51,0.378
1989-90,LAC,30-52,30,52,0.366
1988-89,LAC,21-61,21,61,0.256
1987-88,LAC,17-65,17,65,0.207
1986-87,LAC,Dec-70,Dec-70,,0.146
1985-86,LAC,32-50,32,50,0.39
1984-85,LAC,31-51,31,51,0.378
1983-84,LAC,30-52,30,52,0.366
1982-83,LAC,25-57,25,57,0.305
1981-82,LAC,17-65,17,65,0.207
1980-81,LAC,36-46,36,46,0.439
2017-18,LAL,35-47,35,47,0.427
2016-17,LAL,26-56,26,56,0.317
2015-16,LAL,17-65,17,65,0.207
2014-15,LAL,21-61,21,61,0.256
2013-14,LAL,27-55,27,55,0.329
2012-13,LAL,45-37,45,37,0.549
2011-12 *,LAL,41-25,41,25,0.621
2010-11,LAL,57-25,57,25,0.695
2009-10,LAL,57-25,57,25,0.695
2008-09,LAL,65-17,65,17,0.793
2007-08,LAL,57-25,57,25,0.695
2006-07,LAL,42-40,42,40,0.512
2005-06,LAL,45-37,45,37,0.549
2004-05,LAL,34-48,34,48,0.415
2003-04,LAL,56-26,56,26,0.683
2002-03,LAL,50-32,50,32,0.61
2001-02,LAL,58-24,58,24,0.707
2000-01,LAL,56-26,56,26,0.683
1999-00,LAL,67-15,67,15,0.817
1998-99 *,LAL,31-19,31,19,0.62
1997-98,LAL,61-21,61,21,0.744
1996-97,LAL,56-26,56,26,0.683
1995-96,LAL,53-29,53,29,0.646
1994-95,LAL,48-34,48,34,0.585
1993-94,LAL,33-49,33,49,0.402
1992-93,LAL,39-43,39,43,0.476
1991-92,LAL,43-39,43,39,0.524
1990-91,LAL,58-24,58,24,0.707
1989-90,LAL,63-19,63,19,0.768
1988-89,LAL,57-25,57,25,0.695
1987-88,LAL,62-20,62,20,0.756
1986-87,LAL,65-17,65,17,0.793
1985-86,LAL,62-20,62,20,0.756
1984-85,LAL,62-20,62,20,0.756
1983-84,LAL,54-28,54,28,0.659
1982-83,LAL,58-24,58,24,0.707
1981-82,LAL,57-25,57,25,0.695
1980-81,LAL,54-28,54,28,0.659
2017-18,MEM,22-60,22,60,0.268
2016-17,MEM,43-39,43,39,0.524
2015-16,MEM,42-40,42,40,0.512
2014-15,MEM,55-27,55,27,0.671
2013-14,MEM,50-32,50,32,0.61
2012-13,MEM,56-26,56,26,0.683
2011-12 *,MEM,41-25,41,25,0.621
2010-11,MEM,46-36,46,36,0.561
2009-10,MEM,40-42,40,42,0.488
2008-09,MEM,24-58,24,58,0.293
2007-08,MEM,22-60,22,60,0.268
2006-07,MEM,22-60,22,60,0.268
2005-06,MEM,49-33,49,33,0.598
2004-05,MEM,45-37,45,37,0.549
2003-04,MEM,50-32,50,32,0.61
2002-03,MEM,28-54,28,54,0.341
2001-02,MEM,23-59,23,59,0.28
2000-01,MEM,23-59,23,59,0.28
1999-00,MEM,22-60,22,60,0.268
1998-99 *,MEM,Aug-42,Aug-42,,0.16
1997-98,MEM,19-63,19,63,0.232
1996-97,MEM,14-68,14,68,0.171
1995-96,MEM,15-67,15,67,0.183
2017-18,MIA,44-38,44,38,0.537
2016-17,MIA,41-41,41,41,0.5
2015-16,MIA,48-34,48,34,0.585
2014-15,MIA,37-45,37,45,0.451
2013-14,MIA,54-28,54,28,0.659
2012-13,MIA,66-16,66,16,0.805
2011-12 *,MIA,46-20,46,20,0.697
2010-11,MIA,58-24,58,24,0.707
2009-10,MIA,47-35,47,35,0.573
2008-09,MIA,43-39,43,39,0.524
2007-08,MIA,15-67,15,67,0.183
2006-07,MIA,44-38,44,38,0.537
2005-06,MIA,52-30,52,30,0.634
2004-05,MIA,59-23,59,23,0.72
2003-04,MIA,42-40,42,40,0.512
2002-03,MIA,25-57,25,57,0.305
2001-02,MIA,36-46,36,46,0.439
2000-01,MIA,50-32,50,32,0.61
1999-00,MIA,52-30,52,30,0.634
1998-99 *,MIA,33-17,33,17,0.66
1997-98,MIA,55-27,55,27,0.671
1996-97,MIA,61-21,61,21,0.744
1995-96,MIA,42-40,42,40,0.512
1994-95,MIA,32-50,32,50,0.39
1993-94,MIA,42-40,42,40,0.512
1992-93,MIA,36-46,36,46,0.439
1991-92,MIA,38-44,38,44,0.463
1990-91,MIA,24-58,24,58,0.293
1989-90,MIA,18-64,18,64,0.22
1988-89,MIA,15-67,15,67,0.183
2017-18,MIL,44-38,44,38,0.537
2016-17,MIL,42-40,42,40,0.512
2015-16,MIL,33-49,33,49,0.402
2014-15,MIL,41-41,41,41,0.5
2013-14,MIL,15-67,15,67,0.183
2012-13,MIL,38-44,38,44,0.463
2011-12 *,MIL,31-35,31,35,0.47
2010-11,MIL,35-47,35,47,0.427
2009-10,MIL,46-36,46,36,0.561
2008-09,MIL,34-48,34,48,0.415
2007-08,MIL,26-56,26,56,0.317
2006-07,MIL,28-54,28,54,0.341
2005-06,MIL,40-42,40,42,0.488
2004-05,MIL,30-52,30,52,0.366
2003-04,MIL,41-41,41,41,0.5
2002-03,MIL,42-40,42,40,0.512
2001-02,MIL,41-41,41,41,0.5
2000-01,MIL,52-30,52,30,0.634
1999-00,MIL,42-40,42,40,0.512
1998-99 *,MIL,28-22,28,22,0.56
1997-98,MIL,36-46,36,46,0.439
1996-97,MIL,33-49,33,49,0.402
1995-96,MIL,25-57,25,57,0.305
1994-95,MIL,34-48,34,48,0.415
1993-94,MIL,20-62,20,62,0.244
1992-93,MIL,28-54,28,54,0.341
1991-92,MIL,31-51,31,51,0.378
1990-91,MIL,48-34,48,34,0.585
1989-90,MIL,44-38,44,38,0.537
1988-89,MIL,49-33,49,33,0.598
1987-88,MIL,42-40,42,40,0.512
1986-87,MIL,50-32,50,32,0.61
1985-86,MIL,57-25,57,25,0.695
1984-85,MIL,59-23,59,23,0.72
1983-84,MIL,50-32,50,32,0.61
1982-83,MIL,51-31,51,31,0.622
1981-82,MIL,55-27,55,27,0.671
1980-81,MIL,60-22,60,22,0.732
2017-18,MIN,47-35,47,35,0.573
2016-17,MIN,31-51,31,51,0.378
2015-16,MIN,29-53,29,53,0.354
2014-15,MIN,16-66,16,66,0.195
2013-14,MIN,40-42,40,42,0.488
2012-13,MIN,31-51,31,51,0.378
2011-12 *,MIN,26-40,26,40,0.394
2010-11,MIN,17-65,17,65,0.207
2009-10,MIN,15-67,15,67,0.183
2008-09,MIN,24-58,24,58,0.293
2007-08,MIN,22-60,22,60,0.268
2006-07,MIN,32-50,32,50,0.39
2005-06,MIN,33-49,33,49,0.402
2004-05,MIN,44-38,44,38,0.537
2003-04,MIN,58-24,58,24,0.707
2002-03,MIN,51-31,51,31,0.622
2001-02,MIN,50-32,50,32,0.61
2000-01,MIN,47-35,47,35,0.573
1999-00,MIN,50-32,50,32,0.61
1998-99 *,MIN,25-25,25,25,0.5
1997-98,MIN,45-37,45,37,0.549
1996-97,MIN,40-42,40,42,0.488
1995-96,MIN,26-56,26,56,0.317
1994-95,MIN,21-61,21,61,0.256
1993-94,MIN,20-62,20,62,0.244
