year,team,win_percent,wins,losses
2014-15,DEN,0.366,30,52
2013-14,DEN,0.439,36,46
2012-13,DEN,0.695,57,25
2011-12 ,DEN,0.5760000000000001,38,28
2010-11,DEN,0.61,50,32
2009-10,DEN,0.6459999999999999,53,29
2008-09,DEN,0.659,54,28
2007-08,DEN,0.61,50,32
2006-07,DEN,0.5489999999999999,45,37
2005-06,DEN,0.537,44,38
2004-05,DEN,0.598,49,33
2003-04,DEN,0.524,43,39
2002-03,DEN,0.207,17,65
2001-02,DEN,0.32899999999999996,27,55
2000-01,DEN,0.488,40,42
1999-00,DEN,0.42700000000000005,35,47
1998-99 ,DEN,0.28,14,36
1997-98,DEN,0.134,11,71
1996-97,DEN,0.256,21,61
1995-96,DEN,0.42700000000000005,35,47
1994-95,DEN,0.5,41,41
1993-94,DEN,0.512,42,40
1992-93,DEN,0.439,36,46
1991-92,DEN,0.293,24,58
1990-91,DEN,0.244,20,62
1989-90,DEN,0.524,43,39
1988-89,DEN,0.537,44,38
1987-88,DEN,0.659,54,28
1986-87,DEN,0.451,37,45
1985-86,DEN,0.573,47,35
1984-85,DEN,0.634,52,30
1983-84,DEN,0.46299999999999997,38,44
1982-83,DEN,0.5489999999999999,45,37
1981-82,DEN,0.561,46,36
1980-81,DEN,0.451,37,45
2017-18,DET,0.47600000000000003,39,43
2016-17,DET,0.451,37,45
2015-16,DET,0.537,44,38
2014-15,DET,0.39,32,50
2013-14,DET,0.354,29,53
2012-13,DET,0.354,29,53
2011-12 ,DET,0.379,25,41
2010-11,DET,0.366,30,52
2009-10,DET,0.32899999999999996,27,55
2008-09,DET,0.47600000000000003,39,43
2007-08,DET,0.72,59,23
2006-07,DET,0.6459999999999999,53,29
2005-06,DET,0.78,64,18
2004-05,DET,0.659,54,28
2003-04,DET,0.659,54,28
2002-03,DET,0.61,50,32
2001-02,DET,0.61,50,32
2000-01,DET,0.39,32,50
1999-00,DET,0.512,42,40
1998-99 ,DET,0.58,29,21
1997-98,DET,0.451,37,45
1996-97,DET,0.659,54,28
1995-96,DET,0.561,46,36
1994-95,DET,0.341,28,54
1993-94,DET,0.244,20,62
1992-93,DET,0.488,40,42
1991-92,DET,0.585,48,34
1990-91,DET,0.61,50,32
1989-90,DET,0.72,59,23
1988-89,DET,0.768,63,19
1987-88,DET,0.659,54,28
1986-87,DET,0.634,52,30
1985-86,DET,0.561,46,36
1984-85,DET,0.561,46,36
1983-84,DET,0.598,49,33
1982-83,DET,0.451,37,45
1981-82,DET,0.47600000000000003,39,43
1980-81,DET,0.256,21,61
1979-80,DET,0.195,16,66
2017-18,GSW,0.7070000000000001,58,24
2016-17,GSW,0.8170000000000001,67,15
2015-16,GSW,0.89,73,9
2014-15,GSW,0.8170000000000001,67,15
2013-14,GSW,0.622,51,31
2012-13,GSW,0.573,47,35
2011-12 ,GSW,0.348,23,43
2010-11,GSW,0.439,36,46
2009-10,GSW,0.317,26,56
2008-09,GSW,0.354,29,53
2007-08,GSW,0.585,48,34
2006-07,GSW,0.512,42,40
2005-06,GSW,0.415,34,48
2004-05,GSW,0.415,34,48
2003-04,GSW,0.451,37,45
2002-03,GSW,0.46299999999999997,38,44
2001-02,GSW,0.256,21,61
2000-01,GSW,0.207,17,65
1999-00,GSW,0.23199999999999998,19,63
1998-99 ,GSW,0.42,21,29
1997-98,GSW,0.23199999999999998,19,63
1996-97,GSW,0.366,30,52
1995-96,GSW,0.439,36,46
1994-95,GSW,0.317,26,56
1993-94,GSW,0.61,50,32
1992-93,GSW,0.415,34,48
1991-92,GSW,0.6709999999999999,55,27
1990-91,GSW,0.537,44,38
1989-90,GSW,0.451,37,45
1988-89,GSW,0.524,43,39
1987-88,GSW,0.244,20,62
1986-87,GSW,0.512,42,40
1985-86,GSW,0.366,30,52
1984-85,GSW,0.268,22,60
1983-84,GSW,0.451,37,45
1982-83,GSW,0.366,30,52
1981-82,GSW,0.5489999999999999,45,37
1980-81,GSW,0.47600000000000003,39,43
2017-18,HOU,0.7929999999999999,65,17
2016-17,HOU,0.6709999999999999,55,27
2015-16,HOU,0.5,41,41
2014-15,HOU,0.6829999999999999,56,26
2013-14,HOU,0.659,54,28
2012-13,HOU,0.5489999999999999,45,37
2011-12 ,HOU,0.515,34,32
2010-11,HOU,0.524,43,39
2009-10,HOU,0.512,42,40
2008-09,HOU,0.6459999999999999,53,29
2007-08,HOU,0.6709999999999999,55,27
2006-07,HOU,0.634,52,30
2005-06,HOU,0.415,34,48
2004-05,HOU,0.622,51,31
2003-04,HOU,0.5489999999999999,45,37
2002-03,HOU,0.524,43,39
2001-02,HOU,0.341,28,54
2000-01,HOU,0.5489999999999999,45,37
1999-00,HOU,0.415,34,48
1998-99 ,HOU,0.62,31,19
1997-98,HOU,0.5,41,41
1996-97,HOU,0.695,57,25
1995-96,HOU,0.585,48,34
1994-95,HOU,0.573,47,35
1993-94,HOU,0.7070000000000001,58,24
1992-93,HOU,0.6709999999999999,55,27
1991-92,HOU,0.512,42,40
1990-91,HOU,0.634,52,30
1989-90,HOU,0.5,41,41
1988-89,HOU,0.5489999999999999,45,37
1987-88,HOU,0.561,46,36
1986-87,HOU,0.512,42,40
1985-86,HOU,0.622,51,31
1984-85,HOU,0.585,48,34
1983-84,HOU,0.354,29,53
1982-83,HOU,0.171,14,68
1981-82,HOU,0.561,46,36
1980-81,HOU,0.488,40,42
2017-18,IND,0.585,48,34
2016-17,IND,0.512,42,40
2015-16,IND,0.5489999999999999,45,37
2014-15,IND,0.46299999999999997,38,44
2013-14,IND,0.6829999999999999,56,26
2012-13,IND,0.605,49,32
2011-12 ,IND,0.636,42,24
2010-11,IND,0.451,37,45
2009-10,IND,0.39,32,50
2008-09,IND,0.439,36,46
2007-08,IND,0.439,36,46
2006-07,IND,0.42700000000000005,35,47
2005-06,IND,0.5,41,41
2004-05,IND,0.537,44,38
2003-04,IND,0.7440000000000001,61,21
2002-03,IND,0.585,48,34
2001-02,IND,0.512,42,40
2000-01,IND,0.5,41,41
1999-00,IND,0.6829999999999999,56,26
1998-99 ,IND,0.66,33,17
1997-98,IND,0.7070000000000001,58,24
1996-97,IND,0.47600000000000003,39,43
1995-96,IND,0.634,52,30
1994-95,IND,0.634,52,30
1993-94,IND,0.573,47,35
1992-93,IND,0.5,41,41
1991-92,IND,0.488,40,42
1990-91,IND,0.5,41,41
1989-90,IND,0.512,42,40
1988-89,IND,0.341,28,54
1987-88,IND,0.46299999999999997,38,44
1986-87,IND,0.5,41,41
1985-86,IND,0.317,26,56
1984-85,IND,0.268,22,60
1983-84,IND,0.317,26,56
1982-83,IND,0.244,20,62
1981-82,IND,0.42700000000000005,35,47
1980-81,IND,0.537,44,38
2017-18,LAC,0.512,42,40
2016-17,LAC,0.622,51,31
2015-16,LAC,0.6459999999999999,53,29
2014-15,LAC,0.6829999999999999,56,26
2013-14,LAC,0.695,57,25
2012-13,LAC,0.6829999999999999,56,26
2011-12 ,LAC,0.606,40,26
2010-11,LAC,0.39,32,50
2009-10,LAC,0.354,29,53
2008-09,LAC,0.23199999999999998,19,63
2007-08,LAC,0.28,23,59
2006-07,LAC,0.488,40,42
2005-06,LAC,0.573,47,35
2004-05,LAC,0.451,37,45
2003-04,LAC,0.341,28,54
2002-03,LAC,0.32899999999999996,27,55
2001-02,LAC,0.47600000000000003,39,43
2000-01,LAC,0.37799999999999995,31,51
1999-00,LAC,0.183,15,67
1998-99 ,LAC,0.18,9-,1
1997-98,LAC,0.207,17,65
1996-97,LAC,0.439,36,46
1995-96,LAC,0.354,29,53
1994-95,LAC,0.207,17,65
1993-94,LAC,0.32899999999999996,27,55
1992-93,LAC,0.5,41,41
1991-92,LAC,0.5489999999999999,45,37
1990-91,LAC,0.37799999999999995,31,51
1989-90,LAC,0.366,30,52
1988-89,LAC,0.256,21,61
1987-88,LAC,0.207,17,65
1986-87,LAC,0.146,12,70
1985-86,LAC,0.39,32,50
1984-85,LAC,0.37799999999999995,31,51
1983-84,LAC,0.366,30,52
1982-83,LAC,0.305,25,57
1981-82,LAC,0.207,17,65
1980-81,LAC,0.439,36,46
2017-18,LAL,0.42700000000000005,35,47
2016-17,LAL,0.317,26,56
2015-16,LAL,0.207,17,65
2014-15,LAL,0.256,21,61
2013-14,LAL,0.32899999999999996,27,55
2012-13,LAL,0.5489999999999999,45,37
2011-12 ,LAL,0.621,41,25
2010-11,LAL,0.695,57,25
2009-10,LAL,0.695,57,25
2008-09,LAL,0.7929999999999999,65,17
2007-08,LAL,0.695,57,25
2006-07,LAL,0.512,42,40
2005-06,LAL,0.5489999999999999,45,37
2004-05,LAL,0.415,34,48
2003-04,LAL,0.6829999999999999,56,26
2002-03,LAL,0.61,50,32
2001-02,LAL,0.7070000000000001,58,24
2000-01,LAL,0.6829999999999999,56,26
1999-00,LAL,0.8170000000000001,67,15
1998-99 ,LAL,0.62,31,19
1997-98,LAL,0.7440000000000001,61,21
1996-97,LAL,0.6829999999999999,56,26
1995-96,LAL,0.6459999999999999,53,29
1994-95,LAL,0.585,48,34
1993-94,LAL,0.402,33,49
1992-93,LAL,0.47600000000000003,39,43
1991-92,LAL,0.524,43,39
1990-91,LAL,0.7070000000000001,58,24
1989-90,LAL,0.768,63,19
1988-89,LAL,0.695,57,25
