team_id,team
1021,WAS
1022,WAS
1023,WAS
1024,WAS
1025,WAS
1026,WAS
1027,WAS
1028,WAS
1029,WAS
1030,WAS
1031,WAS
1032,WAS
1033,WAS
1034,WAS
1035,WAS
1036,WAS
1037,WAS
1038,WAS
1039,WAS
1040,WAS
1041,WAS
1042,WAS
1043,WAS
1044,WAS
1045,WAS
1046,WAS
1047,WAS
1048,WAS
1049,WAS
1050,WAS
1051,WAS
1052,WAS
1053,WAS
